orderid,orderdate,region,salesperson,category,product,units,unitprice,revenue,customertype,month,revenue_category
ORD00001,2025-09-06,South,Meena,Grocery,Oil,37,1500.9,55533.3,Retail,9,High Revenue
ORD00002,2024-12-21,North,Arjun,Furniture,Table,32,354.18,11333.76,Wholesale,12,Low Revenue
ORD00003,2024-07-28,West,Amit,Clothing,Shirt,29,962.81,27921.49,Wholesale,7,Low Revenue
ORD00004,2024-07-10,South,Rahul,Furniture,Cabinet,11,226.02,2486.22,Retail,7,Low Revenue
ORD00005,2024-02-29,East,Priya,Furniture,Cabinet,24,1957.12,46970.88,Retail,2,Medium Revenue
ORD00006,2024-08-25,South,Karthik,Grocery,Oil,43,1399.42,60175.06,Wholesale,8,High Revenue
ORD00007,2024-02-06,North,Amit,Grocery,Rice,15,1394.55,20918.25,Wholesale,2,Low Revenue
ORD00008,2025-01-07,East,Priya,Grocery,Sugar,42,1313.92,55184.64,Wholesale,1,High Revenue
ORD00009,2024-08-13,South,Arjun,Grocery,Sugar,7,210.94,1476.58,Wholesale,8,Low Revenue
ORD00010,2024-08-08,North,Divya,Grocery,Sugar,36,935.58,33680.88,Wholesale,8,Medium Revenue
ORD00011,2025-03-13,West,Karthik,Grocery,Sugar,42,602.27,25295.34,Wholesale,3,Low Revenue
ORD00012,2024-04-08,East,Rahul,Electronics,Tablet,27,1034.17,27922.59,Retail,4,Low Revenue
ORD00013,2024-09-22,East,Meena,Clothing,Jacket,21,1053.98,22133.58,Wholesale,9,Low Revenue
ORD00014,2024-10-09,South,Divya,Grocery,Sugar,34,407.19,13844.46,Retail,10,Low Revenue
ORD00015,2024-01-01,West,Meena,Grocery,Milk,12,1971.16,23653.92,Wholesale,1,Low Revenue
ORD00016,2025-01-22,East,Arjun,Electronics,Monitor,21,803.15,16866.15,Retail,1,Low Revenue
ORD00017,2025-10-13,South,Arjun,Grocery,Milk,19,252.48,4797.12,Retail,10,Low Revenue
ORD00018,2025-01-15,East,Sneha,Grocery,Rice,1,1510.81,1510.81,Wholesale,1,Low Revenue
ORD00019,2025-10-05,West,Amit,Furniture,Desk,12,1999.06,23988.72,Retail,10,Low Revenue
ORD00020,2025-03-26,West,Divya,Clothing,Jeans,10,784.41,7844.1,Retail,3,Low Revenue
ORD00021,2024-09-27,North,Arjun,Grocery,Milk,45,465.9,20965.5,Wholesale,9,Low Revenue
ORD00022,2024-09-23,South,Rahul,Clothing,Shoes,41,632.91,25949.31,Retail,9,Low Revenue
ORD00023,2024-02-05,South,Amit,Electronics,Laptop,46,645.77,29705.42,Retail,2,Low Revenue
ORD00024,2025-03-08,East,Meena,Clothing,Shirt,43,970.03,41711.29,Wholesale,3,Medium Revenue
ORD00025,2025-04-29,East,Amit,Electronics,Tablet,12,1256.79,15081.48,Retail,4,Low Revenue
ORD00026,2025-02-15,East,Rahul,Grocery,Milk,33,313.42,10342.86,Wholesale,2,Low Revenue
ORD00027,2024-12-16,North,Meena,Furniture,Table,15,110.29,1654.35,Wholesale,12,Low Revenue
ORD00028,2024-04-18,South,Sneha,Grocery,Rice,20,828.76,16575.2,Wholesale,4,Low Revenue
ORD00029,2024-11-19,North,Amit,Electronics,Phone,22,1103.3,24272.6,Retail,11,Low Revenue
ORD00030,2024-03-31,South,Arjun,Furniture,Cabinet,50,377.52,18876.0,Retail,3,Low Revenue
ORD00031,2025-04-04,East,Sneha,Clothing,Shirt,39,1964.77,76626.03,Wholesale,4,High Revenue
ORD00032,2025-11-08,North,Divya,Clothing,Shoes,49,202.84,9939.16,Retail,11,Low Revenue
ORD00033,2024-12-26,West,Meena,Furniture,Desk,30,305.54,9166.2,Retail,12,Low Revenue
ORD00034,2024-06-26,East,Rahul,Electronics,Monitor,8,925.81,7406.48,Wholesale,6,Low Revenue
ORD00035,2024-12-22,West,Meena,Furniture,Chair,26,28.71,746.46,Wholesale,12,Low Revenue
ORD00036,2024-05-26,North,Karthik,Grocery,Rice,44,1156.65,50892.6,Wholesale,5,High Revenue
ORD00037,2024-06-06,West,Karthik,Grocery,Oil,7,1753.21,12272.47,Wholesale,6,Low Revenue
ORD00038,2025-01-14,East,Amit,Electronics,Tablet,33,444.62,14672.46,Retail,1,Low Revenue
ORD00039,2024-04-11,South,Sneha,Electronics,Laptop,31,354.0,10974.0,Retail,4,Low Revenue
ORD00040,2024-07-19,East,Priya,Furniture,Chair,15,1526.57,22898.55,Retail,7,Low Revenue
ORD00041,2024-12-12,North,Priya,Furniture,Cabinet,26,56.49,1468.74,Retail,12,Low Revenue
