OrderID,OrderDate,Region,Salesperson,Category,Product,Units,UnitPrice,Revenue,CustomerType
ORD00001,06-09-2025,South,Meena,Grocery,Oil,37,1500.9,55533.3,Retail
ORD00002,21-12-2024,North,Arjun,Furniture,Table,32,354.18,11333.76,Wholesale
ORD00003,28-07-2024,West,Amit,Clothing,Shirt,29,962.81,27921.49,Wholesale
ORD00004,10-07-2024,South,Rahul,Furniture,Cabinet,11,226.02,2486.22,Retail
ORD00005,29-02-2024,East,Priya,Furniture,Cabinet,24,1957.12,46970.88,Retail
ORD00006,25-08-2024,South,Karthik,Grocery,Oil,43,1399.42,60175.06,Wholesale
ORD00007,06-02-2024,North,Amit,Grocery,Rice,15,1394.55,20918.25,Wholesale
ORD00008,07-01-2025,East,Priya,Grocery,Sugar,42,1313.92,55184.64,Wholesale
ORD00009,13-08-2024,South,Arjun,Grocery,Sugar,7,210.94,1476.58,Wholesale
ORD00010,08-08-2024,North,Divya,Grocery,Sugar,36,935.58,33680.88,Wholesale
ORD00011,13-03-2025,West,Karthik,Grocery,Sugar,42,602.27,25295.34,Wholesale
ORD00012,08-04-2024,East,Rahul,Electronics,Tablet,27,1034.17,27922.59,Retail
ORD00013,22-09-2024,East,Meena,Clothing,Jacket,21,1053.98,22133.58,Wholesale
ORD00014,09-10-2024,South,Divya,Grocery,Sugar,34,407.19,13844.46,Retail
ORD00015,01-01-2024,West,Meena,Grocery,Milk,12,1971.16,23653.92,Wholesale
ORD00016,22-01-2025,East,Arjun,Electronics,Monitor,21,803.15,16866.15,Retail
ORD00017,13-10-2025,South,Arjun,Grocery,Milk,19,252.48,4797.12,Retail
ORD00018,15-01-2025,East,Sneha,Grocery,Rice,1,1510.81,1510.81,Wholesale
ORD00019,05-10-2025,West,Amit,Furniture,Desk,12,1999.06,23988.72,Retail
ORD00020,26-03-2025,West,Divya,Clothing,Jeans,10,784.41,7844.1,Retail
ORD00021,27-09-2024,North,Arjun,Grocery,Milk,45,465.9,20965.5,Wholesale
ORD00022,23-09-2024,South,Rahul,Clothing,Shoes,41,632.91,25949.31,Retail
ORD00023,05-02-2024,South,Amit,Electronics,Laptop,46,645.77,29705.42,Retail
ORD00024,08-03-2025,East,Meena,Clothing,Shirt,43,970.03,41711.29,Wholesale
ORD00025,29-04-2025,East,Amit,Electronics,Tablet,12,1256.79,15081.48,Retail
ORD00026,15-02-2025,East,Rahul,Grocery,Milk,33,313.42,10342.86,Wholesale
ORD00027,16-12-2024,North,Meena,Furniture,Table,15,110.29,1654.35,Wholesale
ORD00028,18-04-2024,South,Sneha,Grocery,Rice,20,828.76,16575.2,Wholesale
ORD00029,19-11-2024,North,Amit,Electronics,Phone,22,1103.3,24272.6,Retail
ORD00030,31-03-2024,South,Arjun,Furniture,Cabinet,50,377.52,18876,Retail
ORD00031,04-04-2025,East,Sneha,Clothing,Shirt,39,1964.77,76626.03,Wholesale
ORD00032,08-11-2025,North,Divya,Clothing,Shoes,49,202.84,9939.16,Retail
ORD00033,26-12-2024,West,Meena,Furniture,Desk,30,305.54,9166.2,Retail
ORD00034,26-06-2024,East,Rahul,Electronics,Monitor,8,925.81,7406.48,Wholesale
ORD00035,22-12-2024,West,Meena,Furniture,Chair,26,28.71,746.46,Wholesale
ORD00036,26-05-2024,North,Karthik,Grocery,Rice,44,1156.65,50892.6,Wholesale
ORD00037,06-06-2024,West,Karthik,Grocery,Oil,7,1753.21,12272.47,Wholesale
ORD00038,14-01-2025,East,Amit,Electronics,Tablet,33,444.62,14672.46,Retail
ORD00039,11-04-2024,South,Sneha,Electronics,Laptop,31,354,10974,Retail
ORD00040,19-07-2024,East,Priya,Furniture,Chair,15,1526.57,22898.55,Retail
ORD00041,12-12-2024,North,Priya,Furniture,Cabinet,26,56.49,1468.74,Retail
ORD00042,04-11-2024,South,Meena,Grocery,Sugar,16,1775.75,28412,Wholesale
ORD00043,30-05-2025,North,Divya,Furniture,Table,8,1883.58,15068.64,Wholesale
ORD00044,09-02-2024,East,Rahul,Electronics,Laptop,33,350.26,11558.58,Retail
ORD00045,14-03-2025,South,Priya,Clothing,Shirt,18,1504.89,27088.02,Wholesale
ORD00046,25-08-2025,West,Sneha,Furniture,Table,26,611.98,15911.48,Retail
ORD00047,12-05-2025,North,Priya,Clothing,Shoes,8,423.22,3385.76,Retail
ORD00048,08-02-2025,East,Divya,Electronics,Laptop,23,1640.33,37727.59,Retail
ORD00049,13-11-2025,North,Amit,Electronics,Phone,35,832.19,29126.65,Wholesale
ORD00050,02-05-2025,North,Sneha,Clothing,Shoes,49,510.12,24995.88,Wholesale
ORD00051,16-03-2024,South,Meena,Furniture,Chair,23,547.39,12589.97,Wholesale
ORD00052,28-02-2025,West,Meena,Furniture,Cabinet,14,411.77,5764.78,Wholesale
ORD00053,22-09-2024,South,Rahul,Grocery,Sugar,27,200.87,5423.49,Retail
ORD00054,27-06-2024,South,Rahul,Grocery,Milk,25,316.63,7915.75,Retail
ORD00055,31-12-2024,East,Divya,Electronics,Phone,8,1158.76,9270.08,Retail
ORD00056,03-12-2024,North,Meena,Clothing,Jacket,21,763.66,16036.86,Retail
ORD00057,19-06-2025,East,Meena,Grocery,Oil,49,1981.31,97084.19,Wholesale
ORD00058,27-06-2025,East,Amit,Grocery,Milk,26,581.32,15114.32,Wholesale
ORD00059,02-03-2024,East,Sneha,Clothing,Shoes,29,638.77,18524.33,Wholesale
ORD00060,14-12-2025,South,Meena,Grocery,Oil,9,567.02,5103.18,Retail
ORD00061,08-06-2024,West,Sneha,Grocery,Rice,22,677.75,14910.5,Retail
ORD00062,25-06-2025,South,Amit,Furniture,Table,40,1986.43,79457.2,Retail
ORD00063,12-09-2024,West,Amit,Electronics,Phone,25,965.4,24135,Retail
ORD00064,14-09-2024,South,Meena,Furniture,Table,10,995.28,9952.8,Retail
ORD00065,02-04-2025,South,Arjun,Furniture,Cabinet,38,211.33,8030.54,Retail
ORD00066,01-06-2025,South,Rahul,Grocery,Milk,23,1526.01,35098.23,Retail
ORD00067,24-04-2024,South,Amit,Furniture,Desk,9,1766.4,15897.6,Wholesale
ORD00068,07-08-2024,East,Divya,Grocery,Sugar,26,1720.32,44728.32,Retail
ORD00069,27-02-2024,West,Amit,Clothing,Shoes,43,1406.7,60488.1,Wholesale
ORD00070,18-10-2024,East,Priya,Clothing,Shoes,45,574.94,25872.3,Retail
ORD00071,19-02-2025,East,Arjun,Clothing,Jeans,39,898.97,35059.83,Retail
ORD00072,11-06-2025,East,Arjun,Clothing,Shirt,2,1845.98,3691.96,Wholesale
ORD00073,01-12-2025,South,Karthik,Grocery,Oil,11,841.35,9254.85,Wholesale
ORD00074,16-05-2025,East,Divya,Grocery,Oil,32,1170.84,37466.88,Retail
ORD00075,22-07-2025,South,Amit,Electronics,Laptop,35,724.89,25371.15,Retail
ORD00076,20-12-2024,East,Meena,Electronics,Monitor,43,1057.25,45461.75,Wholesale
ORD00077,30-01-2024,South,Karthik,Furniture,Cabinet,32,1365.16,43685.12,Wholesale
ORD00078,06-01-2025,North,Rahul,Furniture,Desk,1,1329.3,1329.3,Retail
ORD00079,10-03-2024,South,Amit,Furniture,Chair,9,109.39,984.51,Retail
ORD00080,28-10-2025,South,Karthik,Electronics,Monitor,6,1868.14,11208.84,Wholesale
ORD00081,13-03-2025,West,Arjun,Clothing,Shirt,34,926.24,31492.16,Wholesale
ORD00082,19-06-2025,West,Sneha,Electronics,Tablet,24,1679.47,40307.28,Retail
ORD00083,06-11-2024,South,Sneha,Furniture,Chair,33,540.54,17837.82,Retail
ORD00084,22-08-2025,East,Arjun,Clothing,Shoes,32,1005.45,32174.4,Retail
ORD00085,18-09-2024,East,Karthik,Furniture,Table,8,1838.74,14709.92,Retail
ORD00086,19-07-2025,East,Meena,Clothing,Jacket,36,1452.14,52277.04,Retail
ORD00087,25-06-2025,North,Arjun,Electronics,Tablet,10,1096.49,10964.9,Retail
ORD00088,24-05-2025,East,Rahul,Furniture,Chair,17,77.66,1320.22,Wholesale
ORD00089,03-10-2024,West,Karthik,Electronics,Tablet,42,1273.79,53499.18,Retail
ORD00090,29-10-2024,West,Arjun,Grocery,Oil,5,1676.52,8382.6,Retail
ORD00091,22-12-2025,East,Amit,Grocery,Sugar,42,628.19,26383.98,Wholesale
ORD00092,13-11-2025,East,Meena,Furniture,Cabinet,10,1414.83,14148.3,Wholesale
ORD00093,01-03-2024,East,Amit,Furniture,Cabinet,19,1377.35,26169.65,Wholesale
ORD00094,10-04-2025,South,Arjun,Electronics,Tablet,26,305.02,7930.52,Wholesale
